,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
30,2002-07-01,65.51335458136296,68.83877257372141,88.6576589041823,65.51335458136296,65.51335458136296,13.438228538764932,13.438228538764932,13.438228538764932,13.438228538764932,13.438228538764932,13.438228538764932,0.0,0.0,0.0,78.95158312012789
31,2002-08-01,65.1566547170718,58.64658004066107,78.73799037855096,65.1566547170718,65.1566547170718,3.2281043093148254,3.2281043093148254,3.2281043093148254,3.2281043093148254,3.2281043093148254,3.2281043093148254,0.0,0.0,0.0,68.38475902638663
32,2002-09-01,64.79995485278064,68.7134777383724,89.06232842078985,64.79995485278064,64.79995485278064,14.277939368938192,14.277939368938192,14.277939368938192,14.277939368938192,14.277939368938192,14.277939368938192,0.0,0.0,0.0,79.07789422171884
33,2002-10-01,64.4547614398506,58.10214826852159,77.97185679739357,64.4547614398506,64.4547614398506,3.890309438604586,3.890309438604586,3.890309438604586,3.890309438604586,3.890309438604586,3.890309438604586,0.0,0.0,0.0,68.34507087845519
34,2002-11-01,64.09806157982288,49.42998931172402,69.38637490279496,64.09806157982288,64.09806157982288,-4.450590934180289,-4.450590934180289,-4.450590934180289,-4.450590934180289,-4.450590934180289,-4.450590934180289,0.0,0.0,0.0,59.64747064564259
35,2002-12-01,63.752868166892824,51.196841142633986,70.95530986063275,63.752868166892824,63.752868166892824,-3.2150837750223586,-3.2150837750223586,-3.2150837750223586,-3.2150837750223586,-3.2150837750223586,-3.2150837750223586,0.0,0.0,0.0,60.53778439187047
36,2003-01-01,63.3961683068651,42.651871559789356,62.62981556074378,63.3961683068651,63.3961683068651,-10.987086460321853,-10.987086460321853,-10.987086460321853,-10.987086460321853,-10.987086460321853,-10.987086460321853,0.0,0.0,0.0,52.409081846543245
37,2003-02-01,63.039468446837375,40.24276021658959,60.20061757118166,63.039468446837375,63.039468446837375,-12.665333875374099,-12.665333875374099,-12.665333875374099,-12.665333875374099,-12.665333875374099,-12.665333875374099,0.0,0.0,0.0,50.37413457146327
38,2003-03-01,62.71728792810266,45.46707881330776,64.05406621007927,62.71728792810266,62.71728792810266,-8.076753270668842,-8.076753270668842,-8.076753270668842,-8.076753270668842,-8.076753270668842,-8.076753270668842,0.0,0.0,0.0,54.64053465743382
39,2003-04-01,62.36058806807494,49.9632440463192,69.18751105524494,62.36058806807494,62.36058806807494,-3.0327535879660226,-3.0327535879660226,-3.0327535879660226,-3.0327535879660226,-3.0327535879660226,-3.0327535879660226,0.0,0.0,0.0,59.32783448010892
40,2003-05-01,62.01539465514488,56.85649102888143,77.313467366878,62.01539465514488,62.01539465514488,4.855846382668743,4.855846382668743,4.855846382668743,4.855846382668743,4.855846382668743,4.855846382668743,0.0,0.0,0.0,66.87124103781362
41,2003-06-01,61.65869518347708,56.18408217316734,75.3822514393537,61.65869518347708,61.65869518347708,4.56142642240833,4.56142642240833,4.56142642240833,4.56142642240833,4.56142642240833,4.56142642240833,0.0,0.0,0.0,66.22012160588541
42,2003-07-01,61.31350214637921,64.90631863870954,84.0796345083368,61.31350214637921,61.31350214637921,13.317382488773955,13.317382488773955,13.317382488773955,13.317382488773955,13.317382488773955,13.317382488773955,0.0,0.0,0.0,74.63088463515317
43,2003-08-01,60.9568026747114,54.31727551449869,73.99140367490281,60.9568026747114,60.9568026747114,3.0504574662176442,3.0504574662176442,3.0504574662176442,3.0504574662176442,3.0504574662176442,3.0504574662176442,0.0,0.0,0.0,64.00726014092905
44,2003-09-01,60.600103203043595,64.8145399962547,84.66860373067557,60.600103203043595,60.600103203043595,13.980774805536612,13.980774805536612,13.980774805536612,13.980774805536612,13.980774805536612,13.980774805536612,0.0,0.0,0.0,74.58087800858021
45,2003-10-01,60.25491016594572,54.107895926954185,74.28260129694074,60.25491016594572,60.25491016594572,4.150992883164281,4.150992883164281,4.150992883164281,4.150992883164281,4.150992883164281,4.150992883164281,0.0,0.0,0.0,64.40590304911
46,2003-11-01,59.898210694277914,46.21041335332991,65.0879895080413,59.898210694277914,59.898210694277914,-4.107307690319062,-4.107307690319062,-4.107307690319062,-4.107307690319062,-4.107307690319062,-4.107307690319062,0.0,0.0,0.0,55.79090300395885
47,2003-12-01,59.553017657180035,47.1542601673492,66.38209298802798,59.553017657180035,59.553017657180035,-3.1029385934882034,-3.1029385934882034,-3.1029385934882034,-3.1029385934882034,-3.1029385934882034,-3.1029385934882034,0.0,0.0,0.0,56.45007906369183
48,2004-01-01,59.19631818551223,38.98865672207902,57.9483382325961,59.19631818551223,59.19631818551223,-10.938576026576328,-10.938576026576328,-10.938576026576328,-10.938576026576328,-10.938576026576328,-10.938576026576328,0.0,0.0,0.0,48.257742158935905
49,2004-02-01,58.83969245544338,35.89467598282488,55.72584924007741,58.83969245544338,58.83969245544338,-13.261260075867359,-13.261260075867359,-13.261260075867359,-13.261260075867359,-13.261260075867359,-13.261260075867359,0.0,0.0,0.0,45.578432379576014
